epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60802,4.79703,6.97258,4.60106,0,0,0,0,4.98363,4.54324,4.16304,0.00014544,0.00014544,0.00014544
2,13.7084,4.52378,6.33258,4.19471,1e-05,0.00164,1e-05,0,4.99424,4.56168,4.18179,0.000299376,0.000299376,0.000299376
3,19.7354,4.01919,5.48635,3.82668,0,0,0,0,5.02674,4.61057,4.23437,0.0004527,0.0004527,0.0004527
4,25.6235,3.74299,4.71762,3.47085,1e-05,0.00045,1e-05,0,5.01922,4.64828,4.22346,0.000605412,0.000605412,0.000605412
5,31.5128,3.47754,3.97406,3.11465,1e-05,0.00045,1e-05,0,5.15911,4.75274,4.47118,0.000757513,0.000757513,0.000757513
6,37.3224,3.14802,3.47691,2.89256,4e-05,0.00045,2e-05,0,4.63475,4.64766,4.08012,0.000900001,0.000900001,0.000900001
7,43.1464,2.94495,3.14321,2.63112,0.02113,0.15146,0.04827,0.01846,3.29238,3.73523,3.15399,0.000898201,0.000898201,0.000898201
8,49.0525,2.66653,2.82215,2.53738,0.61439,0.10388,0.12576,0.0624,2.69177,2.75655,2.58433,0.000896401,0.000896401,0.000896401
9,54.8753,2.57671,2.8116,2.44522,0.47456,0.19206,0.12949,0.05994,2.56107,2.41447,2.49404,0.000894601,0.000894601,0.000894601
10,60.6965,2.4058,2.44206,2.2214,0.46579,0.20805,0.14057,0.06429,2.47301,2.7748,2.44333,0.000892802,0.000892802,0.000892802
11,66.62,2.26683,2.33045,2.12977,0.40706,0.2378,0.19426,0.09353,2.35974,3.25881,2.28724,0.000891002,0.000891002,0.000891002
12,72.5882,2.194,2.18736,1.97275,0.44571,0.26754,0.22086,0.10101,2.36767,2.50416,2.18471,0.000889202,0.000889202,0.000889202
13,78.531,2.20183,2.19301,1.96969,0.51662,0.32238,0.27595,0.14855,2.05002,2.09899,1.94824,0.000887402,0.000887402,0.000887402
14,84.3713,2.02395,2.00044,1.89953,0.57122,0.27352,0.28323,0.15653,1.92363,1.77553,1.87785,0.000885602,0.000885602,0.000885602
15,90.2589,1.95953,1.90155,1.82482,0.60851,0.34505,0.32791,0.17467,1.9618,1.94987,1.83894,0.000883803,0.000883803,0.000883803
16,96.1443,1.89952,1.77698,1.76791,0.65006,0.31874,0.32229,0.18007,1.87742,1.68399,1.79226,0.000882003,0.000882003,0.000882003
17,102.11,1.84194,1.6599,1.65376,0.61463,0.34247,0.34119,0.18112,1.8524,1.62169,1.749,0.000880203,0.000880203,0.000880203
18,108.247,1.82929,1.69872,1.66103,0.57064,0.40773,0.38718,0.21669,1.7897,1.54401,1.67497,0.000878403,0.000878403,0.000878403
19,114.213,1.82635,1.69523,1.68577,0.66883,0.34508,0.38954,0.22783,1.72129,1.50867,1.65131,0.000876603,0.000876603,0.000876603
20,120.21,1.74763,1.54819,1.5861,0.65274,0.41082,0.41106,0.24154,1.68203,1.39923,1.60123,0.000874803,0.000874803,0.000874803
21,126.353,1.69257,1.54487,1.56406,0.69886,0.37862,0.42454,0.25001,1.61952,1.45328,1.55717,0.000873004,0.000873004,0.000873004
22,132.348,1.6581,1.51935,1.5147,0.68042,0.40234,0.44099,0.26522,1.56764,1.33449,1.53778,0.000871204,0.000871204,0.000871204
23,138.247,1.74704,1.55154,1.537,0.6763,0.39752,0.44556,0.26492,1.72096,1.63393,1.59348,0.000869404,0.000869404,0.000869404
24,144.165,1.5767,1.40328,1.43742,0.71985,0.42196,0.47395,0.29947,1.5342,1.29306,1.50481,0.000867604,0.000867604,0.000867604
25,150.108,1.57377,1.3633,1.45414,0.68271,0.43827,0.46857,0.29292,1.53723,1.27908,1.50001,0.000865804,0.000865804,0.000865804
26,155.922,1.60507,1.41395,1.47987,0.70366,0.44539,0.47187,0.27618,1.62575,1.27858,1.53078,0.000864004,0.000864004,0.000864004
27,161.743,1.59883,1.4058,1.45856,0.63581,0.43161,0.4583,0.26867,1.61307,1.5703,1.5138,0.000862205,0.000862205,0.000862205
28,167.574,1.54207,1.38418,1.41601,0.72063,0.47813,0.5152,0.32471,1.44818,1.25583,1.4326,0.000860405,0.000860405,0.000860405
29,173.452,1.49899,1.32864,1.43949,0.73373,0.46879,0.51912,0.32743,1.46028,1.21127,1.43434,0.000858605,0.000858605,0.000858605
30,179.305,1.52945,1.32567,1.43144,0.70802,0.48282,0.5232,0.3335,1.4256,1.16585,1.41564,0.000856805,0.000856805,0.000856805
31,185.717,1.4629,1.24199,1.37874,0.72427,0.45844,0.52075,0.33377,1.40235,1.14959,1.38852,0.000855005,0.000855005,0.000855005
32,192.172,1.46575,1.25498,1.39389,0.73016,0.49033,0.53515,0.34073,1.38971,1.13019,1.39486,0.000853206,0.000853206,0.000853206
33,198.593,1.46666,1.2023,1.37236,0.72378,0.45281,0.48848,0.31505,1.43355,1.20758,1.403,0.000851406,0.000851406,0.000851406
34,204.666,1.46067,1.21769,1.36451,0.77076,0.49123,0.55304,0.34766,1.44013,1.16223,1.39272,0.000849606,0.000849606,0.000849606
35,211.034,1.45688,1.15181,1.32846,0.72848,0.49852,0.55191,0.34732,1.39274,1.10902,1.38885,0.000847806,0.000847806,0.000847806
36,217.124,1.47589,1.23914,1.33776,0.73048,0.50902,0.55723,0.36092,1.3314,1.11688,1.32669,0.000846006,0.000846006,0.000846006
37,223.021,1.39965,1.20564,1.29111,0.66261,0.47869,0.54014,0.3564,1.29003,1.17086,1.30434,0.000844206,0.000844206,0.000844206
38,228.863,1.39408,1.09519,1.31845,0.71865,0.5521,0.58044,0.37151,1.35512,1.07203,1.34947,0.000842407,0.000842407,0.000842407
39,234.745,1.35919,1.10905,1.27089,0.71735,0.53042,0.57583,0.37279,1.34482,1.05754,1.33992,0.000840607,0.000840607,0.000840607
40,240.631,1.33449,1.11591,1.29535,0.72801,0.49654,0.55558,0.37718,1.25386,1.0233,1.29784,0.000838807,0.000838807,0.000838807
41,246.482,1.39777,1.14191,1.33179,0.71095,0.55033,0.59788,0.3824,1.27431,1.01026,1.27071,0.000837007,0.000837007,0.000837007
42,252.404,1.36173,1.08993,1.27462,0.7498,0.5361,0.58728,0.3806,1.33509,1.03596,1.31357,0.000835207,0.000835207,0.000835207
43,258.174,1.29693,1.06077,1.2384,0.80196,0.51156,0.58795,0.373,1.32366,0.99125,1.3079,0.000833408,0.000833408,0.000833408
44,264.02,1.3152,1.035,1.25861,0.73332,0.51827,0.59206,0.41376,1.17376,0.97829,1.21861,0.000831608,0.000831608,0.000831608
45,269.914,1.33062,1.07695,1.28075,0.78316,0.55093,0.61706,0.41817,1.18531,0.9198,1.25987,0.000829808,0.000829808,0.000829808
46,277.873,1.3472,1.08292,1.26882,0.75169,0.54511,0.60587,0.40077,1.24457,0.97138,1.26403,0.000828008,0.000828008,0.000828008
47,285.089,1.29083,1.02047,1.23845,0.73974,0.56969,0.62472,0.4213,1.1942,0.97355,1.23354,0.000826208,0.000826208,0.000826208
48,291.373,1.24975,0.99712,1.24198,0.7253,0.5556,0.6133,0.42434,1.12366,0.93716,1.20683,0.000824408,0.000824408,0.000824408
49,297.296,1.29421,1.01577,1.23799,0.81461,0.57487,0.64198,0.43133,1.17842,0.87401,1.22423,0.000822609,0.000822609,0.000822609
50,303.213,1.25625,0.98604,1.21822,0.80287,0.54898,0.61889,0.4137,1.18117,0.94168,1.21263,0.000820809,0.000820809,0.000820809
51,309.036,1.25675,0.9968,1.22727,0.81367,0.5637,0.6341,0.43905,1.11825,0.89614,1.18281,0.000819009,0.000819009,0.000819009
52,314.952,1.23976,0.94957,1.20518,0.80402,0.5684,0.63687,0.44438,1.11317,0.84099,1.19622,0.000817209,0.000817209,0.000817209
53,320.815,1.28929,0.97,1.23672,0.73928,0.56901,0.63294,0.43399,1.1597,0.88854,1.21082,0.000815409,0.000815409,0.000815409
54,326.612,1.20187,0.91273,1.19521,0.77148,0.59384,0.65686,0.45462,1.08805,0.83181,1.1662,0.00081361,0.00081361,0.00081361
55,332.521,1.25027,0.93937,1.19613,0.80175,0.59332,0.65063,0.43952,1.15213,0.86527,1.2043,0.00081181,0.00081181,0.00081181
56,338.346,1.29373,0.99036,1.21969,0.75507,0.57703,0.64108,0.44308,1.11135,0.89247,1.18211,0.00081001,0.00081001,0.00081001
57,344.215,1.23939,0.94169,1.19226,0.82291,0.57053,0.66419,0.43801,1.19625,0.94155,1.22337,0.00080821,0.00080821,0.00080821
58,349.998,1.1996,0.92905,1.19812,0.7668,0.57196,0.6441,0.44563,1.10367,0.92532,1.17198,0.00080641,0.00080641,0.00080641
59,355.809,1.21726,0.9327,1.18772,0.82909,0.58965,0.67989,0.45531,1.15151,0.8533,1.19743,0.00080461,0.00080461,0.00080461
60,361.73,1.2463,0.98483,1.22024,0.81877,0.59131,0.67527,0.42942,1.21422,0.85618,1.19918,0.000802811,0.000802811,0.000802811
61,367.527,1.16702,0.88158,1.16446,0.76053,0.60366,0.66295,0.45892,1.12472,0.85039,1.16608,0.000801011,0.000801011,0.000801011
62,373.383,1.23068,0.93863,1.17459,0.78633,0.62993,0.67304,0.46131,1.0901,0.83872,1.14199,0.000799211,0.000799211,0.000799211
63,379.266,1.23615,0.89253,1.17541,0.8233,0.59981,0.67878,0.46393,1.12618,0.77626,1.16315,0.000797411,0.000797411,0.000797411
64,385.163,1.2119,0.88671,1.16743,0.83663,0.60377,0.68127,0.46613,1.09267,0.77082,1.13722,0.000795611,0.000795611,0.000795611
65,391.056,1.26371,0.89786,1.17946,0.80632,0.59505,0.66723,0.45935,1.07953,0.81665,1.13741,0.000793812,0.000793812,0.000793812
66,396.858,1.18341,0.86446,1.15307,0.80467,0.60783,0.67908,0.46441,1.09897,0.79505,1.14416,0.000792012,0.000792012,0.000792012
67,402.718,1.18382,0.85979,1.13268,0.78934,0.62192,0.67839,0.45731,1.14458,0.82403,1.16002,0.000790212,0.000790212,0.000790212
68,408.548,1.17966,0.88667,1.1806,0.87285,0.59559,0.69082,0.48867,1.03035,0.81849,1.11212,0.000788412,0.000788412,0.000788412
69,414.415,1.22137,0.90185,1.17711,0.82457,0.58451,0.67575,0.45645,1.12341,0.89297,1.15651,0.000786612,0.000786612,0.000786612
70,420.236,1.17225,0.87392,1.16259,0.85802,0.60257,0.68946,0.48064,1.06083,0.73895,1.1283,0.000784812,0.000784812,0.000784812
71,426.106,1.17674,0.8724,1.17893,0.80404,0.64516,0.70308,0.49616,1.00724,0.74515,1.09501,0.000783013,0.000783013,0.000783013
72,432.032,1.16233,0.85601,1.13245,0.80356,0.64739,0.71085,0.49806,1.03427,0.70622,1.10813,0.000781213,0.000781213,0.000781213
73,437.899,1.14071,0.84894,1.11563,0.86073,0.5761,0.68681,0.48721,1.03368,0.75608,1.1172,0.000779413,0.000779413,0.000779413
74,443.706,1.17461,0.89807,1.18223,0.81448,0.63667,0.71037,0.49694,1.02958,0.81096,1.11138,0.000777613,0.000777613,0.000777613
75,449.495,1.12278,0.81754,1.14708,0.84342,0.59766,0.69599,0.48264,1.07846,0.78216,1.12033,0.000775813,0.000775813,0.000775813
76,455.309,1.13613,0.82952,1.14537,0.8634,0.6281,0.70911,0.50218,0.99817,0.70641,1.10617,0.000774013,0.000774013,0.000774013
77,461.198,1.08732,0.82273,1.12595,0.84689,0.61548,0.7078,0.50715,1.00433,0.71852,1.09628,0.000772214,0.000772214,0.000772214
78,467.082,1.10942,0.81459,1.12373,0.87694,0.61475,0.71181,0.49838,1.00607,0.72535,1.08995,0.000770414,0.000770414,0.000770414
79,472.911,1.12681,0.82503,1.12975,0.80731,0.64804,0.70598,0.50358,1.02919,0.71814,1.10375,0.000768614,0.000768614,0.000768614
80,478.738,1.10793,0.79153,1.13648,0.85223,0.59344,0.69242,0.49451,1.03447,0.81295,1.10815,0.000766814,0.000766814,0.000766814
81,484.563,1.12292,0.80268,1.1127,0.86665,0.64006,0.72736,0.51259,1.00023,0.72218,1.09349,0.000765014,0.000765014,0.000765014
82,491.123,1.10725,0.80076,1.11191,0.8517,0.61359,0.70624,0.48911,1.04953,0.7341,1.09789,0.000763215,0.000763215,0.000763215
83,498.041,1.08156,0.80599,1.12872,0.85005,0.65397,0.72268,0.51526,0.98032,0.68827,1.08372,0.000761415,0.000761415,0.000761415
84,506.674,1.10505,0.78785,1.10996,0.84669,0.65646,0.73296,0.51707,0.97043,0.68584,1.06348,0.000759615,0.000759615,0.000759615
85,512.549,1.10326,0.79371,1.10649,0.83729,0.64314,0.72953,0.52528,0.94574,0.69172,1.05735,0.000757815,0.000757815,0.000757815
86,518.394,1.07727,0.77525,1.10294,0.80616,0.68896,0.7459,0.52345,0.94026,0.68756,1.05597,0.000756015,0.000756015,0.000756015
87,524.257,1.01986,0.736,1.08698,0.85619,0.66491,0.73679,0.54486,0.89771,0.64715,1.03595,0.000754215,0.000754215,0.000754215
88,530.165,1.08161,0.78553,1.10835,0.87208,0.65271,0.73517,0.52946,0.92846,0.72699,1.04847,0.000752416,0.000752416,0.000752416
89,535.982,1.05435,0.73908,1.08474,0.85582,0.65617,0.73501,0.51638,0.97348,0.70613,1.06342,0.000750616,0.000750616,0.000750616
90,541.762,1.07567,0.75172,1.09874,0.82247,0.6356,0.72044,0.51546,0.96921,0.69746,1.06625,0.000748816,0.000748816,0.000748816
91,547.542,1.04631,0.76369,1.07605,0.83425,0.65686,0.73238,0.51941,0.93374,0.67347,1.03947,0.000747016,0.000747016,0.000747016
92,553.382,1.02012,0.73232,1.09488,0.87602,0.6746,0.74976,0.53815,0.92507,0.66189,1.03502,0.000745216,0.000745216,0.000745216
93,559.166,1.05773,0.76723,1.08804,0.8641,0.66166,0.74164,0.52854,0.95832,0.6804,1.0495,0.000743417,0.000743417,0.000743417
94,564.963,1.06506,0.74869,1.06943,0.86783,0.66567,0.74775,0.54447,0.92846,0.63674,1.03629,0.000741617,0.000741617,0.000741617
95,570.826,1.02396,0.72564,1.05684,0.85557,0.65219,0.73266,0.54162,0.91234,0.64026,1.03454,0.000739817,0.000739817,0.000739817
96,576.634,1.00502,0.70813,1.04546,0.83398,0.69622,0.75253,0.5489,0.92058,0.61539,1.05031,0.000738017,0.000738017,0.000738017
97,582.514,0.98508,0.70036,1.08998,0.86045,0.66534,0.7487,0.54239,0.89793,0.63008,1.02764,0.000736217,0.000736217,0.000736217
98,588.302,1.00095,0.73825,1.10785,0.82899,0.69414,0.74756,0.54651,0.88657,0.63265,1.02158,0.000734417,0.000734417,0.000734417
99,594.079,0.9801,0.70838,1.04294,0.85395,0.69814,0.75505,0.55621,0.87496,0.61472,1.0343,0.000732618,0.000732618,0.000732618
100,599.97,0.99631,0.71776,1.04777,0.87526,0.69563,0.74896,0.55102,0.90651,0.60637,1.01917,0.000730818,0.000730818,0.000730818
101,605.766,1.00068,0.70952,1.03688,0.86979,0.70918,0.76556,0.55613,0.88137,0.59721,1.01303,0.000729018,0.000729018,0.000729018
102,611.624,1.02573,0.71799,1.05649,0.86412,0.69319,0.76768,0.54566,0.92233,0.61617,1.03492,0.000727218,0.000727218,0.000727218
103,617.404,1.02717,0.71495,1.03222,0.85806,0.65595,0.74186,0.52882,0.91345,0.61222,1.02506,0.000725418,0.000725418,0.000725418
104,623.264,1.04454,0.7415,1.05387,0.8687,0.70772,0.76885,0.5529,0.89523,0.60813,1.02,0.000723619,0.000723619,0.000723619
105,629.082,0.96933,0.67127,1.05738,0.82781,0.71039,0.75811,0.55024,0.91222,0.61651,1.02726,0.000721819,0.000721819,0.000721819
106,634.853,1.0432,0.70947,1.07183,0.8754,0.69259,0.76309,0.55709,0.89855,0.60362,1.02602,0.000720019,0.000720019,0.000720019
107,640.735,0.97709,0.66891,1.0537,0.90361,0.68555,0.76806,0.55426,0.86695,0.59032,1.01944,0.000718219,0.000718219,0.000718219
108,646.617,1.001,0.69669,1.0591,0.90947,0.67753,0.77265,0.55237,0.88935,0.62228,1.00801,0.000716419,0.000716419,0.000716419
109,652.467,0.95433,0.67702,1.02789,0.87638,0.70003,0.75233,0.54316,0.87874,0.58711,1.01073,0.000714619,0.000714619,0.000714619
110,658.231,0.95983,0.69798,1.02857,0.88086,0.69975,0.75936,0.56038,0.87952,0.58414,1.00631,0.00071282,0.00071282,0.00071282
111,664.095,0.94131,0.65667,1.02758,0.8548,0.71624,0.76734,0.56786,0.8606,0.58396,1.00394,0.00071102,0.00071102,0.00071102
112,669.987,0.94793,0.67502,1.0336,0.89872,0.71165,0.77362,0.57099,0.84748,0.60353,0.99469,0.00070922,0.00070922,0.00070922
113,676.042,0.91916,0.64597,1.04478,0.86248,0.69396,0.76235,0.56344,0.87564,0.62311,1.00403,0.00070742,0.00070742,0.00070742
114,682.031,0.98452,0.6819,1.022,0.83758,0.71497,0.77122,0.56938,0.85841,0.58665,1.00404,0.00070562,0.00070562,0.00070562
115,687.951,0.99895,0.67933,1.04223,0.89497,0.71788,0.78507,0.5767,0.82998,0.57865,0.99691,0.000703821,0.000703821,0.000703821
116,693.927,0.94722,0.69921,1.03972,0.84614,0.69909,0.75836,0.56758,0.84384,0.58996,1.00148,0.000702021,0.000702021,0.000702021
117,699.772,0.96141,0.66178,1.0501,0.87482,0.69273,0.76493,0.56808,0.858,0.58748,1.00632,0.000700221,0.000700221,0.000700221
118,709.862,0.97068,0.67942,1.01536,0.86537,0.68211,0.76577,0.54826,0.89373,0.60797,1.0091,0.000698421,0.000698421,0.000698421
119,717.226,0.95607,0.67166,1.03094,0.88341,0.67645,0.76261,0.56582,0.84151,0.58094,0.9893,0.000696621,0.000696621,0.000696621
120,723.228,0.9471,0.6438,1.04129,0.904,0.69393,0.78235,0.57587,0.84881,0.58885,0.99031,0.000694821,0.000694821,0.000694821
121,729.081,1.0111,0.69152,1.05575,0.88338,0.68273,0.76675,0.56209,0.8733,0.5869,0.98661,0.000693022,0.000693022,0.000693022
122,734.866,1.00661,0.68121,1.05485,0.85762,0.69198,0.76086,0.56744,0.84955,0.55861,1.00422,0.000691222,0.000691222,0.000691222
123,740.683,0.93826,0.65,1.00243,0.86802,0.72785,0.7774,0.5799,0.81773,0.53764,0.98671,0.000689422,0.000689422,0.000689422
124,746.584,0.90676,0.62906,1.0154,0.86258,0.72616,0.78823,0.58534,0.81441,0.55954,0.98488,0.000687622,0.000687622,0.000687622
125,752.468,0.9736,0.65518,1.03478,0.86402,0.73983,0.78108,0.57365,0.84971,0.55465,0.98805,0.000685822,0.000685822,0.000685822
126,758.284,0.94087,0.63677,1.02395,0.9085,0.74092,0.80056,0.59681,0.81496,0.52574,0.98341,0.000684022,0.000684022,0.000684022
127,764.17,0.94721,0.64348,1.04092,0.90316,0.73541,0.79434,0.58963,0.84417,0.56441,0.98198,0.000682223,0.000682223,0.000682223
128,770.009,0.94278,0.64422,1.0191,0.87406,0.71001,0.77414,0.57004,0.85469,0.58987,0.98873,0.000680423,0.000680423,0.000680423
129,775.798,0.90037,0.60864,0.99493,0.85626,0.72624,0.78246,0.58607,0.80341,0.53833,0.98484,0.000678623,0.000678623,0.000678623
130,781.578,0.91152,0.61078,0.99826,0.88673,0.73174,0.79429,0.59607,0.77977,0.51782,0.97189,0.000676823,0.000676823,0.000676823
131,787.395,0.93372,0.62723,1.01298,0.92073,0.71612,0.79192,0.59054,0.80818,0.52753,0.97126,0.000675023,0.000675023,0.000675023
132,793.21,0.95374,0.63913,1.0187,0.91035,0.7062,0.79439,0.59216,0.81675,0.54516,0.97342,0.000673224,0.000673224,0.000673224
133,799.033,0.9355,0.62183,1.01173,0.90072,0.73199,0.7946,0.5924,0.79542,0.5577,0.96122,0.000671424,0.000671424,0.000671424
134,804.792,0.95647,0.62875,1.01489,0.85299,0.73185,0.78288,0.57697,0.84472,0.55219,0.98505,0.000669624,0.000669624,0.000669624
135,810.568,0.97279,0.62581,1.00567,0.92217,0.72238,0.782,0.59191,0.81403,0.56584,0.97377,0.000667824,0.000667824,0.000667824
136,816.435,0.93589,0.63427,1.02135,0.90621,0.74693,0.8115,0.60324,0.79455,0.51965,0.97426,0.000666024,0.000666024,0.000666024
137,822.322,0.90466,0.6114,1.01304,0.90233,0.74438,0.80144,0.60665,0.79026,0.51086,0.95857,0.000664224,0.000664224,0.000664224
138,828.167,0.93456,0.62229,1.01169,0.88974,0.72686,0.79594,0.60222,0.76915,0.52423,0.96086,0.000662425,0.000662425,0.000662425
139,833.967,0.95359,0.62342,1.02444,0.89233,0.74101,0.80077,0.59626,0.80366,0.51645,0.96631,0.000660625,0.000660625,0.000660625
140,839.772,0.91196,0.60625,1.01178,0.89697,0.7345,0.79756,0.5981,0.78834,0.51385,0.96222,0.000658825,0.000658825,0.000658825
141,845.619,0.89686,0.61115,0.99509,0.84332,0.75202,0.79574,0.60034,0.76208,0.54062,0.95787,0.000657025,0.000657025,0.000657025
142,851.377,0.88817,0.61352,0.99554,0.89384,0.74168,0.8018,0.59291,0.79753,0.52328,0.96684,0.000655225,0.000655225,0.000655225
143,857.192,0.92165,0.61123,1.00321,0.90901,0.73605,0.8031,0.60461,0.77196,0.50742,0.9633,0.000653426,0.000653426,0.000653426
144,863.017,0.9103,0.61267,1.00606,0.9029,0.76385,0.80852,0.6124,0.76669,0.51149,0.95354,0.000651626,0.000651626,0.000651626
145,868.93,0.87198,0.58972,0.98515,0.92177,0.7507,0.81451,0.61236,0.75661,0.50954,0.9502,0.000649826,0.000649826,0.000649826
146,874.769,0.88044,0.59506,0.96976,0.88957,0.743,0.81359,0.60307,0.77815,0.52286,0.96246,0.000648026,0.000648026,0.000648026
147,880.55,0.91791,0.61374,0.98534,0.89372,0.75603,0.81483,0.60805,0.77348,0.52154,0.96073,0.000646226,0.000646226,0.000646226
148,886.388,0.89035,0.59808,1.00177,0.90132,0.75218,0.81297,0.62568,0.72452,0.48361,0.9426,0.000644426,0.000644426,0.000644426
149,892.242,0.89207,0.58959,1.00143,0.90176,0.76798,0.81522,0.62392,0.74343,0.49644,0.94424,0.000642627,0.000642627,0.000642627
150,898.048,0.85838,0.57922,1.00105,0.8839,0.75072,0.80942,0.61719,0.76306,0.50769,0.95158,0.000640827,0.000640827,0.000640827
151,913.863,0.88852,0.58778,0.99046,0.89385,0.73221,0.80174,0.59709,0.78382,0.52279,0.96077,0.000639027,0.000639027,0.000639027
152,926.613,0.8602,0.58023,1.00642,0.91211,0.73404,0.80706,0.61108,0.74996,0.49684,0.95451,0.000637227,0.000637227,0.000637227
153,935.932,0.8669,0.58154,0.99593,0.90552,0.72487,0.80414,0.62125,0.73624,0.50111,0.95189,0.000635427,0.000635427,0.000635427
154,942.961,0.86903,0.58132,0.9856,0.90982,0.76555,0.82491,0.6264,0.73627,0.48343,0.94554,0.000633628,0.000633628,0.000633628
155,951.262,0.91494,0.58904,0.99931,0.89291,0.75424,0.81953,0.62324,0.75349,0.50075,0.94516,0.000631828,0.000631828,0.000631828
156,957.115,0.91121,0.60052,0.99842,0.90692,0.75024,0.816,0.62411,0.72132,0.47649,0.9347,0.000630028,0.000630028,0.000630028
157,962.91,0.8767,0.58176,0.97287,0.89622,0.75982,0.81184,0.62228,0.76057,0.48437,0.94633,0.000628228,0.000628228,0.000628228
158,968.711,0.90816,0.59384,0.98344,0.86095,0.75467,0.81115,0.61872,0.73639,0.4809,0.94019,0.000626428,0.000626428,0.000626428
159,974.502,0.92095,0.5864,1.00488,0.90426,0.76572,0.82512,0.61669,0.81051,0.49491,0.95191,0.000624628,0.000624628,0.000624628
160,980.321,0.84444,0.5599,0.99614,0.92056,0.74768,0.8154,0.61691,0.76046,0.50691,0.94568,0.000622829,0.000622829,0.000622829
161,986.111,0.88285,0.58212,0.99169,0.9199,0.75014,0.82669,0.62192,0.72026,0.47637,0.94215,0.000621029,0.000621029,0.000621029
162,991.919,0.83323,0.55072,0.96783,0.92354,0.75244,0.82804,0.63042,0.73559,0.48005,0.94349,0.000619229,0.000619229,0.000619229
163,997.752,0.85087,0.55633,0.96678,0.90804,0.77048,0.8288,0.62625,0.72906,0.46914,0.93979,0.000617429,0.000617429,0.000617429
164,1003.56,0.85782,0.56643,1.00268,0.91774,0.76643,0.83324,0.63872,0.71443,0.46319,0.93922,0.000615629,0.000615629,0.000615629
165,1009.45,0.85051,0.53362,0.98196,0.93543,0.74791,0.82189,0.63497,0.71128,0.46911,0.93788,0.00061383,0.00061383,0.00061383
166,1015.27,0.85548,0.55074,0.99065,0.93635,0.75152,0.83002,0.62751,0.71682,0.46383,0.93093,0.00061203,0.00061203,0.00061203
167,1021.06,0.83686,0.53706,0.96572,0.92708,0.75757,0.82827,0.63661,0.71694,0.45679,0.95163,0.00061023,0.00061023,0.00061023
168,1026.86,0.81519,0.53142,0.97685,0.90758,0.76292,0.82684,0.64071,0.69516,0.4704,0.92294,0.00060843,0.00060843,0.00060843
169,1032.72,0.84001,0.55469,0.96017,0.92897,0.76411,0.83678,0.63675,0.73805,0.46353,0.93407,0.00060663,0.00060663,0.00060663
