epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20452,4.7787,6.81316,4.53673,0,0,0,0,4.98531,4.54034,4.16591,0.00014544,0.00014544,0.00014544
2,8.13109,4.52349,6.48194,4.24463,0,0,0,0,4.9965,4.54278,4.18378,0.000299673,0.000299673,0.000299673
3,10.8069,4.20306,5.98207,3.92849,2e-05,0.00045,6e-05,1e-05,5.03267,4.55323,4.23429,0.0004536,0.0004536,0.0004536
4,13.3472,3.97171,5.49556,3.61396,2e-05,0.00045,1e-05,0,5.05185,4.57013,4.26073,0.000607221,0.000607221,0.000607221
5,15.918,3.78616,4.9893,3.29715,1e-05,0.00045,1e-05,0,5.07409,4.59667,4.29636,0.000760536,0.000760536,0.000760536
6,18.4862,3.5471,4.70294,3.084,4e-05,0.00134,0.0002,0.0001,4.52489,4.48045,3.73896,0.0009045,0.0009045,0.0009045
7,21.0756,3.38357,4.31006,2.83138,0.9223,0.00356,0.00807,0.00297,3.8217,3.99048,3.30466,0.000903601,0.000903601,0.000903601
8,23.6417,3.08667,3.98267,2.74585,0.66573,0.01729,0.05053,0.02215,3.16762,3.44184,3.01051,0.000902701,0.000902701,0.000902701
9,26.2389,3.01526,3.83114,2.63583,0.54203,0.07542,0.0791,0.02985,3.09866,2.94834,2.80786,0.000901801,0.000901801,0.000901801
10,28.8088,2.81973,3.37395,2.43822,0.43119,0.10163,0.07653,0.031,2.92421,2.80115,2.6038,0.000900901,0.000900901,0.000900901
11,31.3868,2.66151,3.27301,2.35265,0.31361,0.12852,0.08542,0.03196,2.67017,2.69444,2.46412,0.000900001,0.000900001,0.000900001
12,33.9803,2.6195,3.06192,2.20606,0.4821,0.17865,0.12758,0.05605,2.49468,2.37911,2.22071,0.000899101,0.000899101,0.000899101
13,36.6036,2.57981,3.04805,2.17455,0.51356,0.19526,0.15532,0.07428,2.4099,2.2466,2.18444,0.000898201,0.000898201,0.000898201
14,39.2373,2.41344,2.82009,2.12778,0.50651,0.16152,0.13506,0.06265,2.50152,2.55161,2.26918,0.000897301,0.000897301,0.000897301
15,41.7581,2.36811,2.68287,2.06454,0.5191,0.22399,0.16763,0.08342,2.35556,2.9461,2.07186,0.000896401,0.000896401,0.000896401
16,44.3617,2.31441,2.57068,2.02842,0.5398,0.22688,0.18391,0.09259,2.26591,2.16955,2.00171,0.000895501,0.000895501,0.000895501
17,46.9787,2.2026,2.39188,1.86112,0.55051,0.25066,0.20747,0.11173,2.15702,2.07866,1.94511,0.000894601,0.000894601,0.000894601
18,49.6616,2.25489,2.45049,1.92042,0.44133,0.27169,0.24018,0.13626,2.04548,1.92541,1.86408,0.000893702,0.000893702,0.000893702
19,52.176,2.15905,2.41558,1.9346,0.43702,0.28547,0.23305,0.12692,2.04978,2.10019,1.89321,0.000892802,0.000892802,0.000892802
20,54.7766,2.06313,2.20641,1.78026,0.42693,0.31032,0.25401,0.13904,2.03965,3.15405,1.83236,0.000891902,0.000891902,0.000891902
21,57.3617,2.04901,2.25622,1.77813,0.47304,0.25569,0.23123,0.12579,2.00265,2.211,1.83318,0.000891002,0.000891002,0.000891002
22,59.9033,2.00328,2.18292,1.72802,0.45447,0.28907,0.25861,0.14183,1.96841,1.93131,1.76604,0.000890102,0.000890102,0.000890102
23,62.4624,2.02732,2.20836,1.71779,0.51113,0.3179,0.30524,0.17298,1.88117,1.90788,1.73932,0.000889202,0.000889202,0.000889202
24,65.0635,1.87901,2.03722,1.62586,0.54278,0.31582,0.31008,0.17302,1.80679,1.72587,1.69961,0.000888302,0.000888302,0.000888302
25,67.6486,1.84817,1.99001,1.61835,0.53294,0.34376,0.33273,0.1916,1.80294,1.68887,1.66091,0.000887402,0.000887402,0.000887402
26,70.2613,1.81444,1.98894,1.63718,0.57794,0.34438,0.33681,0.19934,1.78509,1.61503,1.63578,0.000886502,0.000886502,0.000886502
27,72.9258,1.85226,1.96379,1.62594,0.54385,0.34158,0.33231,0.19126,1.79938,1.85508,1.61892,0.000885602,0.000885602,0.000885602
28,75.5744,1.81463,1.92822,1.56974,0.62401,0.34226,0.35295,0.19674,1.82228,1.69032,1.64122,0.000884702,0.000884702,0.000884702
29,78.1314,1.75455,1.87106,1.60477,0.59588,0.37083,0.36028,0.21237,1.67955,1.6179,1.54407,0.000883803,0.000883803,0.000883803
30,80.7209,1.81468,1.91833,1.61653,0.58517,0.38597,0.35938,0.20755,1.73476,1.63616,1.55467,0.000882903,0.000882903,0.000882903
31,83.3664,1.74223,1.81368,1.55511,0.53455,0.39747,0.35896,0.22078,1.62549,1.75418,1.5018,0.000882003,0.000882003,0.000882003
32,85.9653,1.72638,1.82678,1.54789,0.58219,0.39362,0.38382,0.23502,1.63785,1.57813,1.50114,0.000881103,0.000881103,0.000881103
33,88.548,1.73297,1.7462,1.53283,0.63112,0.39651,0.39018,0.2429,1.60153,1.56901,1.47468,0.000880203,0.000880203,0.000880203
34,91.2978,1.76137,1.80794,1.5336,0.63587,0.38689,0.3963,0.24064,1.60378,1.4994,1.47133,0.000879303,0.000879303,0.000879303
35,93.8991,1.68103,1.68765,1.47127,0.70359,0.36035,0.40297,0.25239,1.55992,1.49286,1.4583,0.000878403,0.000878403,0.000878403
36,96.4344,1.71107,1.75854,1.46429,0.6753,0.37055,0.39669,0.23278,1.63093,1.50733,1.46672,0.000877503,0.000877503,0.000877503
37,98.9796,1.67292,1.74234,1.45595,0.61054,0.41898,0.40805,0.25795,1.54312,1.54999,1.43755,0.000876603,0.000876603,0.000876603
38,101.545,1.59928,1.57666,1.44066,0.66467,0.4314,0.43458,0.27582,1.51228,1.38426,1.4359,0.000875703,0.000875703,0.000875703
39,104.086,1.61222,1.63,1.41025,0.66473,0.41617,0.41529,0.26363,1.51785,1.44294,1.41115,0.000874803,0.000874803,0.000874803
40,106.708,1.6115,1.62322,1.43309,0.64849,0.41503,0.41683,0.25512,1.54465,1.43962,1.43663,0.000873904,0.000873904,0.000873904
41,109.297,1.60206,1.62396,1.44821,0.64481,0.43577,0.44571,0.27696,1.50883,1.35677,1.40481,0.000873004,0.000873004,0.000873004
42,111.944,1.56888,1.57441,1.38616,0.66037,0.44862,0.45262,0.28902,1.52316,1.37737,1.41682,0.000872104,0.000872104,0.000872104
43,114.477,1.54522,1.53146,1.37319,0.63455,0.43698,0.4381,0.27769,1.52591,1.42009,1.41341,0.000871204,0.000871204,0.000871204
44,117.04,1.57868,1.54442,1.40263,0.71916,0.41707,0.43676,0.2836,1.43829,1.35574,1.3409,0.000870304,0.000870304,0.000870304
45,119.639,1.61149,1.53943,1.43044,0.64636,0.42349,0.43233,0.2804,1.47112,1.38782,1.362,0.000869404,0.000869404,0.000869404
46,122.212,1.57488,1.52432,1.3719,0.69662,0.43136,0.44852,0.28676,1.48059,1.37715,1.39874,0.000868504,0.000868504,0.000868504
47,124.779,1.56188,1.47853,1.37727,0.67334,0.44416,0.46448,0.30847,1.44591,1.32129,1.35994,0.000867604,0.000867604,0.000867604
48,127.374,1.51028,1.44674,1.36561,0.67163,0.43978,0.46077,0.31123,1.40548,1.26988,1.33389,0.000866704,0.000866704,0.000866704
49,129.98,1.59141,1.49545,1.38828,0.74606,0.42296,0.47516,0.30227,1.43209,1.24821,1.33762,0.000865804,0.000865804,0.000865804
50,132.643,1.54308,1.46493,1.36124,0.70343,0.43302,0.45793,0.28991,1.46592,1.29836,1.33522,0.000864904,0.000864904,0.000864904
51,135.21,1.51793,1.45376,1.3501,0.69816,0.43816,0.4586,0.29964,1.38694,1.30459,1.30635,0.000864004,0.000864004,0.000864004
52,137.869,1.47584,1.3942,1.32012,0.78472,0.41879,0.48962,0.3172,1.40208,1.18815,1.3164,0.000863105,0.000863105,0.000863105
53,140.404,1.58574,1.4829,1.38157,0.70634,0.45136,0.4831,0.30708,1.43876,1.24717,1.31955,0.000862205,0.000862205,0.000862205
54,142.96,1.4919,1.39017,1.34018,0.72375,0.46442,0.49983,0.32102,1.39255,1.31156,1.30453,0.000861305,0.000861305,0.000861305
55,145.562,1.55145,1.4283,1.34724,0.74299,0.46661,0.50263,0.33194,1.34274,1.16525,1.27159,0.000860405,0.000860405,0.000860405
56,148.148,1.56803,1.47489,1.36399,0.73936,0.45248,0.49132,0.32301,1.37482,1.23787,1.28385,0.000859505,0.000859505,0.000859505
57,150.714,1.4851,1.36562,1.31581,0.78589,0.4388,0.50111,0.32362,1.3843,1.22891,1.2882,0.000858605,0.000858605,0.000858605
58,153.243,1.44717,1.37616,1.32397,0.75657,0.46941,0.51162,0.32965,1.35779,1.1841,1.28308,0.000857705,0.000857705,0.000857705
59,155.807,1.47891,1.41344,1.30216,0.57483,0.44873,0.48961,0.31779,1.3648,1.22413,1.29082,0.000856805,0.000856805,0.000856805
60,158.364,1.49093,1.42192,1.3361,0.69546,0.49181,0.50708,0.33706,1.35111,1.18796,1.27892,0.000855905,0.000855905,0.000855905
61,160.903,1.41278,1.30491,1.28482,0.73697,0.45679,0.52082,0.34947,1.32622,1.27321,1.26889,0.000855005,0.000855005,0.000855005
62,163.468,1.44545,1.31454,1.28453,0.75784,0.46816,0.52332,0.34504,1.35105,1.18574,1.26682,0.000854105,0.000854105,0.000854105
63,166.089,1.48276,1.32458,1.28444,0.6701,0.46134,0.51269,0.33001,1.38177,1.2201,1.31379,0.000853206,0.000853206,0.000853206
64,168.681,1.40259,1.30438,1.27596,0.64916,0.4887,0.51991,0.33699,1.29903,1.1739,1.23316,0.000852306,0.000852306,0.000852306
65,171.289,1.42545,1.28465,1.27746,0.77561,0.45692,0.52899,0.35729,1.30638,1.15008,1.24099,0.000851406,0.000851406,0.000851406
66,173.944,1.37052,1.26185,1.25886,0.7012,0.49189,0.53667,0.35265,1.34709,1.12726,1.26912,0.000850506,0.000850506,0.000850506
